Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Dublin North West,Fitzgerald,Niall,M,Non-Party,NON-P.,6,0,1789,115,Excluded,164,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,McAuliffe,Paul,M,Fianna Fáil,F.F.,6,694,0,3902,Elected,165,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Montague,Andrew,M,The Labour Party,LAB.,6,0,785,848,Excluded,166,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Reddy,Conor,M,Solidarity - People Before Profit,S.P.B.P.,6,1789,0,1215,,167,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Redmond,Stephen,M,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,6,0,1175,471,Excluded,168,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Rock,Noel,M,Fine Gael,F.G.,6,0,0,3579,Excluded,169,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Shortall,Róisín,F,Social Democrats,S.D.,6,0,0,6124,Elected,170,15,Baile Átha Cliath Thiar Thuaidh
Dublin Rathdown,Brennan,Shay,M,Fianna Fáil,F.F.,8,2324,0,4549,Excluded,202,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Conroy,Deirdre,F,Fianna Fáil,F.F.,8,0,1765,886,Excluded,203,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Coughlan,Liam,M,Aontú,A.,8,0,1201,1413,Excluded,204,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Madigan,Josepha,F,Fine Gael,F.G.,8,1924,0,6482,Elected,205,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Martin,Catherine,F,Green Party/ Comhaontas Glas,G.P.,8,0,0,8958,Elected,206,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,McCarthy,Lettie,F,The Labour Party,LAB.,8,0,0,3179,Excluded,207,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Nic Cormaic,Sorcha Nic Cormaic,F,Sinn Féin,S.F.,8,0,0,4926,Excluded,208,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Noonan,Patrick,M,Non-Party,NON-P.,8,0,2301,350,Excluded,209,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Ó Ceannabháin,Eoghan,M,Solidarity - People Before Profit,S.P.B.P.,8,0,971,1498,Excluded,210,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Richmond,Neale,M,Fine Gael,F.G.,8,897,0,6743,Elected,211,18,Baile Átha Cliath-Ráth an Dúin
Dublin Rathdown,Ross,Shane,M,Non-Party,NON-P.,8,0,0,3419,Excluded,212,18,Baile Átha Cliath-Ráth an Dúin
Dublin South Central,Ardagh,Catherine,F,Fianna Fáil,F.F.,6,0,0,4782,Excluded,161,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Byrne,Catherine,F,Fine Gael,F.G.,6,1228,0,5078,Excluded,162,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Collins,Joan,F,Independents 4 Change,I.4.C.,6,852,0,2831,Elected,163,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Costello,Patrick,M,Green Party/ Comhaontas Glas,G.P.,6,77,0,4041,Elected,164,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Deacy,Tara,F,Social Democrats,S.D.,6,0,0,1595,Excluded,165,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Foley,Robert,M,Non-Party,NON-P.,6,0,2044,78,Excluded,166,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Ervine,Serina,F,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,6,0,1364,632,Excluded,167,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Kerrigan,Alan,M,Non-Party,NON-P.,6,0,1908,146,Excluded,168,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Moynihan,Rebecca,F,The Labour Party,LAB.,6,0,0,2095,Excluded,169,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Murray,Richard,M,Non-Party,NON-P.,6,0,1653,207,Excluded,170,16,Baile Átha Cliath Theas-Lár
Dublin South Central,O'Leary,Sean,M,Non-Party,NON-P.,6,0,2094,38,Excluded,171,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Ó'Snodaigh,Aengus,M,Sinn Féin,S.F.,6,0,0,17015,Elected,172,16,Baile Átha Cliath Theas-Lár
Dublin South Central,Smith,Bríd,F,Solidarity - People Before Profit,S.P.B.P.,6,0,0,4753,Elected,173,16,Baile Átha Cliath Theas-Lár
Dublin South West,Ahern,Ciarán,M,The Labour Party,LAB.,11,0,0,3603,Excluded,213,19,Baile Átha Cliath Thiar Theas
Dublin South West,Bailey,Carly,F,Social Democrats,S.D.,11,0,0,2761,Excluded,214,19,Baile Átha Cliath Thiar Theas
Dublin South West,Brophy,Colm,M,Fine Gael,F.G.,11,0,0,8269,Elected,215,19,Baile Átha Cliath Thiar Theas
Dublin South West,Condren,Anne Marie,F,Renua Ireland,R.I.,11,0,1831,886,Excluded,216,19,Baile Átha Cliath Thiar Theas
Dublin South West,Crowe,Seán,M,Sinn Féin,S.F.,11,0,0,20077,Elected,217,19,Baile Átha Cliath Thiar Theas
Dublin South West,Duff,Mick,M,Non-Party,NON-P.,11,0,606,1268,Excluded,218,19,Baile Átha Cliath Thiar Theas
Dublin South West,Duffy,Francis Noel,M,Green Party/ Comhaontas Glas,G.P.,11,123,0,4961,Elected,219,19,Baile Átha Cliath Thiar Theas
Dublin South West,Dwyer,Philip,M,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,11,0,2199,508,Excluded,220,19,Baile Átha Cliath Thiar Theas
Dublin South West,Fay,Sandra,F,Solidarity - People Before Profit,S.P.B.P.,11,0,0,1653,Excluded,221,19,Baile Átha Cliath Thiar Theas
Dublin South West,Lahart,John,M,Fianna Fáil,F.F.,11,287,0,5503,Elected,222,19,Baile Átha Cliath Thiar Theas
Dublin South West,Murphy,Paul,M,Solidarity - People Before Profit,S.P.B.P.,11,0,0,4477,Elected,223,19,Baile Átha Cliath Thiar Theas
Dublin South West,O'Connor,Charlie,M,Fianna Fáil,F.F.,11,0,0,3376,Excluded,224,19,Baile Átha Cliath Thiar Theas
Dublin South West,O'Donovan,Deirdre,F,Fianna Fáil,F.F.,11,0,0,3314,Excluded,225,19,Baile Átha Cliath Thiar Theas
Dublin South West,O'Keeffe,Colm,M,Non-Party,NON-P.,11,0,2675,90,Excluded,226,19,Baile Átha Cliath Thiar Theas
Dublin South West,O'Malley Dunlop,Ellen,F,Fine Gael,F.G.,11,0,0,3111,Excluded,227,19,Baile Átha Cliath Thiar Theas
Dublin South West,Zappone,Katherine,F,Non-Party,NON-P.,11,3211,0,3708,,228,19,Baile Átha Cliath Thiar Theas
Dublin West,Burton,Joan,F,The Labour Party,LAB.,6,0,0,2096,Excluded,229,20,Baile Átha Thiar
Dublin West,Casey,Peter,M,Non-Party,NON-P.,6,0,1474,495,Excluded,230,20,Baile Átha Thiar
Dublin West,Chambers,Jack,M,Fianna Fáil,F.F.,6,0,0,6892,Elected,231,20,Baile Átha Thiar
Dublin West,Coppinger,Ruth,F,Solidarity - People Before Profit,S.P.B.P.,6,1146,0,4353,,232,20,Baile Átha Thiar
Dublin West,Currie,Emer,F,Fine Gael,F.G.,6,0,152,1870,Excluded,233,20,Baile Átha Thiar
Dublin West,Donnelly,Paul,M,Sinn Féin,S.F.,6,0,0,12456,Elected,234,20,Baile Átha Thiar
Dublin West,MacManus,Edward,M,Aontú,A.,6,0,660,1062,Excluded,235,20,Baile Átha Thiar
Dublin West,O'Gorman,Roderic,M,Green Party/ Comhaontas Glas,G.P.,6,466,0,4901,Elected,236,20,Baile Átha Thiar
Dublin West,O'Leary,Sean,M,Non-Party,NON-P.,6,0,2117,24,Excluded,237,20,Baile Átha Thiar
Dublin West,O'Loughlin,Stephen,M,Non-Party,NON-P.,6,0,1857,184,Excluded,238,20,Baile Átha Thiar
Dublin West,Ó Maoláin,Aengus,M,Social Democrats,S.D.,6,0,933,817,Excluded,239,20,Baile Átha Thiar
Dublin West,Varadkar,Leo,M,Fine Gael,F.G.,6,0,0,8478,Elected,240,20,Baile Átha Thiar
Dun Laoghaire,Boyd Barrett,Richard,M,Solidarity - People Before Profit,S.P.B.P.,8,0,0,9632,Elected,241,21,Dún Laoghaire
Dun Laoghaire,Carroll MacNeill,Jennifer,F,Fine Gael,F.G.,8,398,0,7754,Elected,242,21,Dún Laoghaire
Dun Laoghaire,Devlin,Cormac,M,Fianna Fáil,F.F.,8,1388,0,5715,Elected,243,21,Dún Laoghaire
Dun Laoghaire,Hanafin,Mary,F,Fianna Fáil,F.F.,8,0,0,4196,Excluded,244,21,Dún Laoghaire
Dun Laoghaire,Mitchell O'Connor,Mary,F,Fine Gael,F.G.,8,1847,0,7330,,245,21,Dún Laoghaire
Dun Laoghaire,O'Brien,Shane,M,Sinn Féin,S.F.,8,0,0,6002,Excluded,246,21,Dún Laoghaire
Dun Laoghaire,O'Connell,Juliet,F,The Labour Party,LAB.,8,0,0,3009,Excluded,247,21,Dún Laoghaire
Dun Laoghaire,Ó Laoghaire,Con Óg,M,Irish Freedom Party,I.F.P.,8,0,2996,119,Excluded,248,21,Dún Laoghaire
Dun Laoghaire,Quinn,Dave,M,Social Democrats,S.D.,8,0,1696,1382,Excluded,249,21,Dún Laoghaire
Dun Laoghaire,Smyth,Ossian,M,Green Party/ Comhaontas Glas,G.P.,8,0,0,9300,Elected,250,21,Dún Laoghaire
Dun Laoghaire,Tóibín,Mairéad,F,Aontú,A.,8,0,1576,1185,Excluded,251,21,Dún Laoghaire
Dun Laoghaire,Ward,Barry,M,Fine Gael,F.G.,8,0,0,5744,Excluded,252,21,Dún Laoghaire
Dun Laoghaire,Waters,John,M,Non-Party,NON-P.,8,0,2190,925,Excluded,253,21,Dún Laoghaire
Galway East,CANNEY,Seán,M,Non-Party,NON-P.,8,0,0,7815,Elected,161,22,Gaillimh Thoir
Galway East,CANNON,Ciaran,M,Fine Gael,F.G.,8,0,0,6298,Elected,162,22,Gaillimh Thoir
Galway East,KILLILEA,Donagh Mark,M,Fianna Fáil,F.F.,8,0,0,4932,Excluded,163,22,Gaillimh Thoir
Galway East,MAC CANNA,Deaglán,M,Renua Ireland,R.I.,8,0,2532,126,Excluded,164,22,Gaillimh Thoir
Galway East,MADDEN,Eoin,M,Green Party/ Comhaontas Glas,G.P.,8,0,11,1924,Excluded,165,22,Gaillimh Thoir
Galway East,O'HARA,Louis,M,Sinn Féin,S.F.,8,946,0,7108,,166,22,Gaillimh Thoir
Galway East,O'REILLY,David,M,Non-Party,NON-P.,8,0,2412,246,Excluded,167,22,Gaillimh Thoir
Galway East,RABBITTE,Anne,F,Fianna Fáil,F.F.,8,609,0,5762,Elected,168,22,Gaillimh Thoir
Galway East,REID,Peter,M,Social Democrats,S.D.,8,0,1766,848,Excluded,169,22,Gaillimh Thoir
Galway East,ROCHE,Peter,M,Fine Gael,F.G.,8,0,0,6034,Excluded,170,22,Gaillimh Thoir
Galway East,SPELMAN,Marian,F,The Labour Party,LAB.,8,0,1768,845,Excluded,171,22,Gaillimh Thoir
Galway East,WARD,"Martin ""Jonesy""",M,Aontú,A.,8,0,1988,582,Excluded,172,22,Gaillimh Thoir
Galway West,Burke,Conor,M,Solidarity - People Before Profit,S.P.B.P.,13,0,2003,495,Excluded,161,23,Gaillimh Thiar
Galway West,Connolly,Catherine,F,Non-Party,NON-P.,13,0,0,5439,Elected,162,23,Gaillimh Thiar
Galway West,Ó Corcoráin,Cormac,M,Aontú,A.,13,0,1397,1058,Excluded,163,23,Gaillimh Thiar
Galway West,Crowe,Ollie,M,Fianna Fáil,F.F.,13,0,0,5175,Excluded,164,23,Gaillimh Thiar
Galway West,Cubbard,Mike,M,Non-Party,NON-P.,13,0,0,2676,Excluded,165,23,Gaillimh Thiar
Galway West,Cuív Ó,Éamon,M,Fianna Fáil,F.F.,13,0,0,8522,Elected,166,23,Gaillimh Thiar
Galway West,Farrell,Mairéad,F,Sinn Féin,S.F.,13,0,0,8464,Elected,167,23,Gaillimh Thiar
Galway West,O Flaherty,Daragh,M,Non-Party,NON-P.,13,0,2197,318,Excluded,168,23,Gaillimh Thiar
Galway West,Grealish,Noel,M,Non-Party,NON-P.,13,0,0,8043,Elected,169,23,Gaillimh Thiar
Galway West,Kyne,Seán,M,Fine Gael,F.G.,13,2483,0,5284,Excluded,170,23,Gaillimh Thiar
Galway West,Loughnane,Joe,M,Solidarity - People Before Profit,S.P.B.P.,13,0,2070,437,Excluded,171,23,Gaillimh Thiar
Galway West,Mc Nelis,Níall,M,The Labour Party,LAB.,13,0,922,1548,Excluded,172,23,Gaillimh Thiar
Galway West,Naughton,Hildegarde,F,Fine Gael,F.G.,13,538,0,5609,Elected,173,23,Gaillimh Thiar
Galway West,O'Reilly,Pauline,F,Green Party/ Comhaontas Glas,G.P.,13,0,0,3650,Excluded,174,23,Gaillimh Thiar
Galway West,Ó Tuathail,Niall,M,Social Democrats,S.D.,13,0,0,3623,Excluded,175,23,Gaillimh Thiar
Kerry,Bowler,John,M,Irish Freedom Party,I.F.P.,8,0,2597,473,Excluded,161,24,Ciarraí
Kerry,Brassil,John,M,Fianna Fáil,F.F.,8,4290,0,5431,,162,24,Ciarraí
Kerry,Cronin,Ted,M,Non-Party,NON-P.,8,0,2693,391,Excluded,163,24,Ciarraí
Kerry,Daly,Pa,M,Sinn Féin,S.F.,8,0,0,15733,Elected,164,24,Ciarraí
Kerry,Foley,Norma,F,Fianna Fáil,F.F.,8,956,0,6856,Elected,165,24,Ciarraí
Kerry,Foran,Sonny,M,Aontú,A.,8,0,1833,1109,Excluded,166,24,Ciarraí
Kerry,Griffin,Brendan,M,Fine Gael,F.G.,8,0,0,10296,Elected,167,24,Ciarraí
Kerry,Healy-Rae,Danny,M,Non-Party,NON-P.,8,0,0,8663,Elected,168,24,Ciarraí
Kerry,Healy-Rae,Michael,M,Non-Party,NON-P.,8,0,0,16818,Elected,169,24,Ciarraí
Kerry,Kennelly,Mike,M,Fine Gael,F.G.,8,0,0,3974,Excluded,170,24,Ciarraí
Kerry,Moriarty,Norma,F,Fianna Fáil,F.F.,8,0,0,3767,Excluded,171,24,Ciarraí
Kerry,Murphy,Cleo,F,Green Party/ Comhaontas Glas,G.P.,8,0,0,4122,Excluded,172,24,Ciarraí
Kerry,O'Leary,Sean,M,Non-Party,NON-P.,8,0,3177,33,Excluded,173,24,Ciarraí
Kildare North,Cronin,Réada,F,Sinn Féin,S.F.,6,0,0,8705,Elected,163,26,Cill Dara Thuaidh
Kildare North,Durkan,Bernard,M,Fine Gael,F.G.,6,0,0,5447,Elected,164,26,Cill Dara Thuaidh
Kildare North,Lawless,James,M,Fianna Fáil,F.F.,6,833,0,7029,Elected,165,26,Cill Dara Thuaidh
Kildare North,Lawlor,Anthony,M,Fine Gael,F.G.,6,0,0,3621,Excluded,166,26,Cill Dara Thuaidh
Kildare North,Mahon,Paul,M,Solidarity - People Before Profit,S.P.B.P.,6,0,1687,861,Excluded,167,26,Cill Dara Thuaidh
Kildare North,Martin,Vincent P.,M,Green Party/ Comhaontas Glas,G.P.,6,0,0,5100,Excluded,168,26,Cill Dara Thuaidh
Kildare North,Monaghan,David,M,Non-Party,NON-P.,6,0,2351,197,Excluded,169,26,Cill Dara Thuaidh
Kildare North,Murphy,Catherine,F,Social Democrats,S.D.,6,0,0,9808,Elected,170,26,Cill Dara Thuaidh
Kildare North,Ó Riain,Séamus,M,Renua Ireland,R.I.,6,0,1581,967,Excluded,171,26,Cill Dara Thuaidh
Kildare North,O'Rourke,Frank,M,Fianna Fáil,F.F.,6,2234,0,6336,,172,26,Cill Dara Thuaidh
Kildare North,Stagg,Emmet,M,The Labour Party,LAB.,6,0,0,2751,Excluded,173,26,Cill Dara Thuaidh
Kildare North,Swords,Wayne,M,Non-Party,NON-P.,6,0,2425,123,Excluded,174,26,Cill Dara Thuaidh
Kildare South,Berry,Cathal,M,Non-Party,NON-P.,8,876,0,5742,Elected,163,187,Cill Dara Theas
Kildare South,Doyle,Suzanne,F,Fianna Fáil,F.F.,8,0,0,3580,Excluded,164,187,Cill Dara Theas
Kildare South,Hayden,Linda,F,Social Democrats,S.D.,8,0,1481,1338,Excluded,165,187,Cill Dara Theas
Kildare South,Heydon,Martin,M,Fine Gael,F.G.,8,106,0,8069,Elected,166,187,Cill Dara Theas
Kildare South,Maher,Ronan,M,Green Party/ Comhaontas Glas,G.P.,8,0,811,1639,Excluded,167,187,Cill Dara Theas
Kildare South,McLoughlin Healy,Fiona,F,Non-Party,NON-P.,8,0,0,3616,Excluded,168,187,Cill Dara Theas
Kildare South,Mhic Gib,Anita,F,Aontú,A.,8,0,2258,697,Excluded,169,187,Cill Dara Theas
Kildare South,O'Loughlin,Fiona,F,Fianna Fáil,F.F.,8,1391,0,5927,Excluded,170,187,Cill Dara Theas
Kildare South,Ryan,Patricia,F,Sinn Féin,S.F.,8,0,0,10155,Elected,171,187,Cill Dara Theas
Kildare South,Uí Bhroin,Róisín,F,Solidarity - People Before Profit,S.P.B.P.,8,0,2357,598,Excluded,172,187,Cill Dara Theas
Kildare South,Wall,Mark,M,The Labour Party,LAB.,8,0,0,5899,Excluded,173,187,Cill Dara Theas
Laois-Offaly,Corcoran Kennedy,Marcella,F,Fine Gael,F.G.,11,0,0,4519,Excluded,161,27,Laois-Uíbh Fhailí
Laois-Offaly,Cowen,Barry,M,Fianna Fáil,F.F.,11,0,0,8677,Elected,162,27,Laois-Uíbh Fhailí
Laois-Offaly,Daly,John,M,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,11,0,2336,441,Excluded,163,27,Laois-Uíbh Fhailí
Laois-Offaly,Flanagan,Charlie,M,Fine Gael,F.G.,11,0,0,7463,Elected,164,27,Laois-Uíbh Fhailí
Laois-Offaly,Flanagan,Pauline,F,Fianna Fáil,F.F.,11,0,1019,1744,Excluded,165,27,Laois-Uíbh Fhailí
Laois-Offaly,Fleming,Sean,M,Fianna Fáil,F.F.,11,207,0,7636,Elected,166,27,Laois-Uíbh Fhailí
Laois-Offaly,Hackett,Pippa,F,Green Party/ Comhaontas Glas,G.P.,11,4462,0,3494,,167,27,Laois-Uíbh Fhailí
Laois-Offaly,Leahy,John,M,Non-Party,NON-P.,11,0,0,3463,Excluded,168,27,Laois-Uíbh Fhailí
Laois-Offaly,Nolan,Carol,F,Non-Party,NON-P.,11,0,0,5436,Elected,169,27,Laois-Uíbh Fhailí
Laois-Offaly,Ormond,Peter,M,Fianna Fáil,F.F.,11,0,0,4073,Excluded,170,27,Laois-Uíbh Fhailí
Laois-Offaly,O'Rourke,Noel,M,Renua Ireland,R.I.,11,0,2537,290,Excluded,172,27,Laois-Uíbh Fhailí
Laois-Offaly,Smollen,Ken,M,Irish Democratic Party,I.D.P.,11,0,0,2611,Excluded,173,27,Laois-Uíbh Fhailí
Laois-Offaly,Stanley,Brian,M,Sinn Féin,S.F.,11,0,0,16654,Elected,174,27,Laois-Uíbh Fhailí
Laois-Offaly,Touhy,Noel,M,The Labour Party,LAB.,11,0,0,2011,Excluded,175,27,Laois-Uíbh Fhailí
Laois-Offaly,Tynan,Stephen,M,Solidarity - People Before Profit,S.P.B.P.,11,0,620,910,Excluded,176,27,Laois-Uíbh Fhailí
Limerick City,Barrett,Rebecca,F,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,9,0,1927,345,Excluded,161,28,Cathair Luimnigh
Limerick City,Blake,Jenny,F,Social Democrats,S.D.,9,0,0,1799,Excluded,162,28,Cathair Luimnigh
Limerick City,Byrne,Maria,F,Fine Gael,F.G.,9,0,0,2998,Excluded,163,28,Cathair Luimnigh
Limerick City,Cahillane,Mary,F,Solidarity - People Before Profit,S.P.B.P.,9,0,1299,701,Excluded,164,28,Cathair Luimnigh
Limerick City,Collins,James,M,Fianna Fáil,F.F.,9,0,0,2759,Excluded,165,28,Cathair Luimnigh
Limerick City,Daly,Frankie,M,Non-Party,NON-P.,9,2506,0,3200,,166,28,Cathair Luimnigh
Limerick City,Leddin,Brian,M,Green Party/ Comhaontas Glas,G.P.,9,1019,0,3252,Elected,167,28,Cathair Luimnigh
Limerick City,O'Dea,Willie,M,Fianna Fáil,F.F.,9,0,0,9198,Elected,168,28,Cathair Luimnigh
Limerick City,O'Donnell,Kieran,M,Fine Gael,F.G.,9,0,0,6589,Elected,169,28,Cathair Luimnigh
Limerick City,O'Sullivan,Jan,F,The Labour Party,LAB.,9,0,0,2729,Excluded,170,28,Cathair Luimnigh
Limerick City,Quinlivan,Maurice,M,Sinn Féin,S.F.,9,0,0,11006,Elected,171,28,Cathair Luimnigh
Limerick City,Ryan,Michael,M,Aontú,A.,9,0,447,1553,Excluded,172,28,Cathair Luimnigh
Limerick County,Collins,Michael,M,Fianna Fáil,F.F.,6,0,0,5150,Excluded,161,29,Contae Luimnigh
Limerick County,Collins,Niall,M,Fianna Fáil,F.F.,6,0,0,8436,Elected,162,29,Contae Luimnigh
Limerick County,Cremin,Con,M,Non-Party,NON-P.,6,0,2508,373,Excluded,163,29,Contae Luimnigh
Limerick County,Dalton,John,M,Renua Ireland,R.I.,6,0,2568,313,Excluded,164,29,Contae Luimnigh
Limerick County,Keating,Claire,F,Green Party/ Comhaontas Glas,G.P.,6,0,193,2503,Excluded,165,29,Contae Luimnigh
Limerick County,Neville,Tom,M,Fine Gael,F.G.,6,0,0,5810,Excluded,166,29,Contae Luimnigh
Limerick County,Ni Mhaoldhomhnaigh,Cristin,F,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,6,0,2657,224,Excluded,167,29,Contae Luimnigh
Limerick County,O'Ceallaigh,Seighin,M,Sinn Féin,S.F.,6,2568,0,6916,,168,29,Contae Luimnigh
Limerick County,O'Donnell,Robert,M,Non-Party,NON-P.,6,0,2479,402,Excluded,169,29,Contae Luimnigh
Limerick County,O'Donoghue,Conor,M,Aontú,A.,6,0,2167,714,Excluded,170,29,Contae Luimnigh
Limerick County,O'Donoghue,Richard,M,Non-Party,NON-P.,6,1203,0,6021,Elected,171,29,Contae Luimnigh
Limerick County,O'Donovan,Patrick,M,Fine Gael,F.G.,6,0,0,9228,Elected,172,29,Contae Luimnigh
Longford-Westmeath,Burke,Peter,M,Fine Gael,F.G.,10,243,0,6617,Elected,161,30,An Longfort-An Iarmhí
Longford-Westmeath,Carrigy,Micheál,M,Fine Gael,F.G.,10,0,0,6334,Excluded,162,30,An Longfort-An Iarmhí
Longford-Westmeath,Clarke,Sorca,F,Sinn Féin,S.F.,10,0,0,11848,Elected,163,30,An Longfort-An Iarmhí
Longford-Westmeath,Flaherty,Joe,M,Fianna Fáil,F.F.,10,213,0,7666,Elected,164,30,An Longfort-An Iarmhí
Longford-Westmeath,Heavin,Louise,F,Green Party/ Comhaontas Glas,G.P.,10,0,0,2325,Excluded,165,30,An Longfort-An Iarmhí
Longford-Westmeath,Jackson,Donal,M,Non-Party,NON-P.,10,0,2737,71,Excluded,166,30,An Longfort-An Iarmhí
Longford-Westmeath,Kavanagh,Anna,F,Non-Party,NON-P.,10,0,2412,334,Excluded,167,30,An Longfort-An Iarmhí
Longford-Westmeath,Kilbride,Frank,M,Non-Party,NON-P.,10,0,2614,197,Excluded,168,30,An Longfort-An Iarmhí
Longford-Westmeath,Mangan,Alan Budda,M,The Labour Party,LAB.,10,0,701,1904,Excluded,169,30,An Longfort-An Iarmhí
Longford-Westmeath,McFadden,Gab,F,Fine Gael,F.G.,10,0,1370,1411,Excluded,170,30,An Longfort-An Iarmhí
Longford-Westmeath,Moran,Kevin Boxer,M,Non-Party,NON-P.,10,1274,0,6730,Excluded,171,30,An Longfort-An Iarmhí
Longford-Westmeath,Parker,Dom,M,Solidarity - People Before Profit,S.P.B.P.,10,0,2498,221,Excluded,172,30,An Longfort-An Iarmhí
Longford-Westmeath,Reynolds,James,M,The National Party - An Páirtí Náisiúnta,T.N.P.A.P.N.,10,0,1690,983,Excluded,173,30,An Longfort-An Iarmhí
Longford-Westmeath,Smyth,Barbara,F,Solidarity - People Before Profit,S.P.B.P.,10,0,2095,411,Excluded,174,30,An Longfort-An Iarmhí
Longford-Westmeath,Troy,Robert,M,Fianna Fáil,F.F.,10,484,0,9331,Elected,175,30,An Longfort-An Iarmhí
Louth,Bird,Topanga,F,Non-Party,NON-P.,10,0,2407,243,Excluded,161,31,Lú
Louth,Bradley,David,M,Non-Party,NON-P.,10,0,2480,256,Excluded,162,31,Lú
Louth,Breathnach,Declan,M,Fianna Fáil,F.F.,10,2153,0,5781,Excluded,163,31,Lú
Louth,Byrne,Albert D,M,Non-Party,NON-P.,10,0,2672,145,Excluded,164,31,Lú
Louth,Byrne,James,M,Fianna Fáil,F.F.,10,0,0,3911,Excluded,165,31,Lú
Louth,Dearey,Mark,M,Green Party/ Comhaontas Glas,G.P.,10,0,0,5418,Excluded,166,31,Lú
Louth,Fergus,Audrey,F,Solidarity - People Before Profit,S.P.B.P.,10,0,0,1120,Excluded,167,31,Lú
Louth,Fitzpatrick,Peter,M,Non-Party,NON-P.,10,999,0,6085,Elected,168,31,Lú
Louth,McGahon,John,M,Fine Gael,F.G.,10,0,0,4442,Excluded,169,31,Lú
Louth,Munster,Imelda,F,Sinn Féin,S.F.,10,0,0,17203,Elected,170,31,Lú
Louth,Nash,Ged,M,The Labour Party,LAB.,10,119,0,5824,Elected,171,31,Lú
Louth,O'Dowd,Fergus,M,Fine Gael,F.G.,10,496,0,6380,Elected,172,31,Lú
Louth,Ó Murchú,Cathal,M,Irish Freedom Party,I.F.P.,10,0,1807,574,Excluded,173,31,Lú
Louth,Ó Murchú,Ruairí,M,Sinn Féin,S.F.,10,0,0,12491,Elected,174,31,Lú
Louth,Sweeney,Eamon,M,Renua Ireland,R.I.,10,0,1782,794,Excluded,175,31,Lú
Mayo,Calleary,Dara,M,Fianna Fáil,F.F.,7,0,0,9163,Elected,184,32,Maigh Eo
Mayo,Chambers,Lisa,F,Fianna Fáil,F.F.,7,3960,0,6373,,185,32,Maigh Eo
Mayo,Conway-Walsh,Rose,F,Sinn Féin,S.F.,7,0,0,14633,Elected,186,32,Maigh Eo
Mayo,Daly,Joe,M,Solidarity - People Before Profit,S.P.B.P.,7,0,2146,721,Excluded,187,32,Maigh Eo
Mayo,De Barra,Gráinne Sinéad,F,Non-Party,NON-P.,7,0,3099,84,Excluded,188,32,Maigh Eo
Mayo,Dillon,Alan,M,Fine Gael,F.G.,7,1894,0,5198,Elected,189,32,Maigh Eo
Mayo,Forkin,Sean,M,Non-Party,NON-P.,7,0,3136,59,Excluded,190,32,Maigh Eo
Mayo,Lawless,Paul,M,Aontú,A.,7,0,0,2574,Excluded,191,32,Maigh Eo
Mayo,Loftus,Gerry,M,Non-Party,NON-P.,7,0,2548,574,Excluded,192,32,Maigh Eo
Mayo,Manning,Stephen,M,Non-Party,NON-P.,7,0,3136,65,Excluded,193,32,Maigh Eo
Mayo,McHugh,Saoirse,F,Green Party/ Comhaontas Glas,G.P.,7,0,0,4177,Excluded,194,32,Maigh Eo
Mayo,Mulherin,Michelle,F,Fine Gael,F.G.,7,0,0,5435,Excluded,195,32,Maigh Eo
Mayo,Ó Fallamháin,Daithí,M,Irish Freedom Party,I.F.P.,7,0,2939,246,Excluded,196,32,Maigh Eo
Mayo,Ring,Michael,M,Fine Gael,F.G.,7,0,0,14796,Elected,197,32,Maigh Eo
Mayo,Uddin,Kamal,M,The Labour Party,LAB.,7,0,2910,255,Excluded,198,32,Maigh Eo
