Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Cork East,O'Grady,Shane,M,Non-Party,NON-P.,8,0,2394,267,Excluded,167,4,Corcaigh Thoir
Cork East,O'Keeffe,Kevin,M,Fianna Fáil,F.F.,8,1831,0,7414,,168,4,Corcaigh Thoir
Cork East,O'Leary,Sean,M,Non-Party,NON-P.,8,0,2652,64,Excluded,169,4,Corcaigh Thoir
Cork East,Quaide,Liam,M,Green Party/ Comhaontas Glas,G.P.,8,0,0,3749,Excluded,170,4,Corcaigh Thoir
Cork East,Sherlock,Seán,M,The Labour Party,LAB.,8,0,0,6610,Elected,171,4,Corcaigh Thoir
Cork East,Shinnick,Frank,M,Irish Freedom Party,I.F.P.,8,0,2130,455,Excluded,172,4,Corcaigh Thoir
Cork East,Stanton,David,M,Fine Gael,F.G.,8,600,0,6143,Elected,173,4,Corcaigh Thoir
Cork North Central,Barry,Mick,M,Solidarity - People Before Profit,S.P.B.P.,14,960,0,3703,Elected,161,5,Corcaigh Thuaidh-Lár
Cork North Central,Burke,Colm,M,Fine Gael,F.G.,14,0,0,6646,Elected,162,5,Corcaigh Thuaidh-Lár
Cork North Central,Coughlan,James,M,Workers Party,W.P.,14,0,2263,180,Excluded,163,5,Corcaigh Thuaidh-Lár
Cork North Central,Fitzgerald,Tony,M,Fianna Fáil,F.F.,14,0,0,3338,Excluded,164,5,Corcaigh Thuaidh-Lár
Cork North Central,Gould,Thomas,M,Sinn Féin,S.F.,14,0,0,13811,Elected,165,5,Corcaigh Thuaidh-Lár
Cork North Central,Halpin,Sinead,F,Social Democrats,S.D.,14,0,1087,1121,Excluded,166,5,Corcaigh Thuaidh-Lár
Cork North Central,Hogan,Timothy Joseph (T.J.),M,Non-Party,NON-P.,14,0,2136,257,Excluded,167,5,Corcaigh Thuaidh-Lár
Cork North Central,Keohane,Ger,M,Non-Party,NON-P.,14,0,1724,694,Excluded,168,5,Corcaigh Thuaidh-Lár
Cork North Central,Maher,John,M,The Labour Party,LAB.,14,0,0,2561,Excluded,169,5,Corcaigh Thuaidh-Lár
Cork North Central,Moran,Oliver,M,Green Party/ Comhaontas Glas,G.P.,14,0,0,3205,Excluded,170,5,Corcaigh Thuaidh-Lár
Cork North Central,Murphy,Sandra,F,Fianna Fáil,F.F.,14,0,1261,1218,Excluded,171,5,Corcaigh Thuaidh-Lár
Cork North Central,O Cadhla,Diarmaid,M,Non-Party,NON-P.,14,0,2302,230,Excluded,172,5,Corcaigh Thuaidh-Lár
Cork North Central,O'Donovan,Stephen James,M,Non-Party,NON-P.,14,0,2507,44,Excluded,173,5,Corcaigh Thuaidh-Lár
Cork North Central,O'Flynn,Kenneth,M,Non-Party,NON-P.,14,3076,0,3994,,174,5,Corcaigh Thuaidh-Lár
Cork North Central,O'Leary,Sean,M,Non-Party,NON-P.,14,0,2438,137,Excluded,175,5,Corcaigh Thuaidh-Lár
Cork North Central,O'Neill,Lorraine,F,Fine Gael,F.G.,14,0,1369,1156,Excluded,176,5,Corcaigh Thuaidh-Lár
Cork North Central,O'Sullivan,Padraig,M,Fianna Fáil,F.F.,14,0,0,8158,Elected,177,5,Corcaigh Thuaidh-Lár
Cork North Central,Toomey,Finian,M,Aontú,A.,14,0,943,1325,Excluded,178,5,Corcaigh Thuaidh-Lár
Cork North West,CREED,MICHAEL,M,Fine Gael,F.G.,5,0,0,8338,Elected,161,6,Corcaigh Thiar Thuaidh
Cork North West,FINN,COLETTE,F,Green Party/ Comhaontas Glas,G.P.,5,0,0,3495,Excluded,162,6,Corcaigh Thiar Thuaidh
Cork North West,KEALY,BECKY,F,Aontú,A.,5,0,0,3877,Excluded,163,6,Corcaigh Thiar Thuaidh
Cork North West,McCARTHY,CIARÁN,M,Social Democrats,S.D.,5,3005,0,3845,,164,6,Corcaigh Thiar Thuaidh
Cork North West,MOYNIHAN,AINDRIAS,M,Fianna Fáil,F.F.,5,420,0,9628,Elected,165,6,Corcaigh Thiar Thuaidh
Cork North West,MOYNIHAN,MICHAEL,M,Fianna Fáil,F.F.,5,353,0,8651,Elected,166,6,Corcaigh Thiar Thuaidh
Cork North West,NIC DOMHNAILL,TARA,F,Irish Freedom Party,I.F.P.,5,0,1943,956,Excluded,167,6,Corcaigh Thiar Thuaidh
Cork North West,O'LEARY,SEAN,M,Non-Party,NON-P.,5,0,2384,515,Excluded,168,6,Corcaigh Thiar Thuaidh
Cork North West,O'SHEA,JOHN PAUL,M,Fine Gael,F.G.,5,0,0,7065,Excluded,169,6,Corcaigh Thiar Thuaidh
Cork South Central,Bogue,Lorna,F,Green Party/ Comhaontas Glas,G.P.,8,2250,0,5379,,161,7,Corcaigh Theas-Lár
Cork South Central,Buttimer,Jerry,M,Fine Gael,F.G.,8,0,0,2828,Excluded,162,7,Corcaigh Theas-Lár
Cork South Central,Coveney,Simon,M,Fine Gael,F.G.,8,0,0,9327,Elected,163,7,Corcaigh Theas-Lár
Cork South Central,Daly,Anna,F,Aontú,A.,8,0,1037,1350,Excluded,164,7,Corcaigh Theas-Lár
Cork South Central,Dineen,Paudie,M,Non-Party,NON-P.,8,0,1960,429,Excluded,165,7,Corcaigh Theas-Lár
