Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Carlow-Kilkenny,McGUINNESS,JOHN,,4,0,0,652,0,324,10558,11622,1,167
Carlow-Kilkenny,McGUINNESS,JOHN,,5,0,0,73,0,579,10558,12201,1,167
Carlow-Kilkenny,McGUINNESS,JOHN,Elected,6,0,6,0,0,411,10558,12612,1,167
Carlow-Kilkenny,McGUINNESS,JOHN,Elected,7,0,6,0,0,0,10558,12612,1,167
Carlow-Kilkenny,McGUINNESS,JOHN,Elected,8,0,6,0,0,0,10558,12612,1,167
Carlow-Kilkenny,McGUINNESS,JOHN,Elected,9,0,6,0,0,0,10558,12612,1,167
Carlow-Kilkenny,McGUINNESS,JOHN,Elected,10,0,6,0,0,0,10558,12612,1,167
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,1,0,0,2923,0,0,9351,9351,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,2,0,0,2551,0,372,9351,9723,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,3,0,0,2379,0,172,9351,9895,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,4,0,0,2181,0,198,9351,10093,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,5,0,0,2021,0,160,9351,10253,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,6,0,0,1941,0,80,9351,10333,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,,7,0,0,1513,0,428,9351,10761,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,Elected,8,0,8,0,0,2078,9351,12839,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,Elected,9,0,8,0,0,0,9351,12839,1,168
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,Elected,10,1028,8,0,0,-565,9351,12274,1,168
Carlow-Kilkenny,NOONAN,MALCOLM,,1,0,0,7332,0,0,4942,4942,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,2,0,0,6770,0,562,4942,5504,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,3,0,0,6627,0,143,4942,5647,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,4,0,0,6067,0,560,4942,6207,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,5,0,0,5196,0,871,4942,7078,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,6,0,0,4961,0,235,4942,7313,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,7,0,0,2866,0,2095,4942,9408,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,8,0,0,2383,0,483,4942,9891,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,,9,0,0,1943,0,440,4942,10331,1,169
Carlow-Kilkenny,NOONAN,MALCOLM,Elected,10,0,10,1731,0,212,4942,10543,1,169
Carlow-Kilkenny,O’NEILL,MELISSA,,1,0,0,11843,2638,0,431,431,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,,2,0,0,11608,2403,235,431,666,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,3,0,3,0,2403,-666,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,4,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,5,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,6,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,7,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,8,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,9,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O’NEILL,MELISSA,Excluded,10,0,3,0,2403,0,431,0,1,170
Carlow-Kilkenny,O'NEILL,PATRICK,,1,0,0,8600,0,0,3674,3674,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,,2,0,0,8551,0,49,3674,3723,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,,3,0,0,8498,0,53,3674,3776,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,,4,0,0,8331,0,167,3674,3943,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,,5,0,0,8088,0,243,3674,4186,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,Excluded,6,0,6,0,0,-4186,3674,0,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,Excluded,7,0,6,0,0,0,3674,0,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,Excluded,8,0,6,0,0,0,3674,0,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,Excluded,9,0,6,0,0,0,3674,0,1,171
Carlow-Kilkenny,O'NEILL,PATRICK,Excluded,10,0,6,0,0,0,3674,0,1,171
Carlow-Kilkenny,PHELAN,JOHN PAUL,,1,0,0,5878,0,0,6396,6396,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,,2,0,0,5776,0,102,6396,6498,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,,3,0,0,5727,0,49,6396,6547,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,,4,0,0,5522,0,205,6396,6752,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,,5,0,0,5299,0,223,6396,6975,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,,6,0,0,2845,0,2454,6396,9429,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,,7,0,0,2726,0,119,6396,9548,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,Elected,8,0,8,0,0,3624,6396,13172,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,Elected,9,1926,8,0,0,-898,6396,12274,1,172
Carlow-Kilkenny,PHELAN,JOHN PAUL,Elected,10,1926,8,0,0,0,6396,12274,1,172
Carlow-Kilkenny,RAY,ANGELA,,1,0,0,12060,2855,0,214,214,1,175
Carlow-Kilkenny,RAY,ANGELA,,2,0,0,11943,2738,117,214,331,1,175
